filename,text,arousal,trend,residual,abs_residual
0054_L.wav,<笑>,0.8200000000000001,-0.11466666666666665,0.9346666666666668,0.9346666666666668
0116_L.wav,<笑>,0.6799999999999999,-0.3026666666666667,0.9826666666666666,0.9826666666666666
0120_L.wav,<笑>,0.74,-0.232,0.972,0.972
0134_L.wav,<笑>,0.7,-0.20400000000000001,0.9039999999999999,0.9039999999999999
0217_L.wav,(F うーん)そうですか,-1.08,-0.19066666666666665,-0.8893333333333334,0.8893333333333334
0256_L.wav,<笑>,0.6000000000000001,-0.3626666666666667,0.9626666666666668,0.9626666666666668
0262_L.wav,(F あ),0.6599999999999999,-0.3626666666666667,1.0226666666666666,1.0226666666666666
0301_L.wav,(F うーん)凄い,-1.1,-0.19200000000000003,-0.908,0.908
0334_L.wav,<笑>,0.6599999999999999,-0.3933333333333333,1.0533333333333332,1.0533333333333332
0367_L.wav,(F うーん)そっかそっか,-1.34,-0.4746666666666666,-0.8653333333333335,0.8653333333333335
0374_L.wav,そうですね,0.43999999999999995,-0.44933333333333336,0.8893333333333333,0.8893333333333333
0434_L.wav,(F うーん),-0.88,0.04400000000000002,-0.924,0.924
0445_L.wav,<笑>,0.6399999999999999,-0.3266666666666667,0.9666666666666666,0.9666666666666666
0500_L.wav,<笑>,0.5800000000000001,-0.3093333333333333,0.8893333333333333,0.8893333333333333
